brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
4,1,3,0,8,1,512,0,2,1,0,126000,5,2,1
1,1,3,1,8,1,512,0,2,1,6,88990,3,0,0
4,1,3,1,8,1,512,0,2,1,0,114999,3,0,0
3,1,3,1,8,1,512,0,2,1,2,82990,4,21,2
7,1,3,1,8,1,512,0,2,1,0,109999,3,0,0
5,1,3,1,8,1,512,0,2,1,0,82990,3,0,0
3,1,3,1,8,1,512,0,2,1,2,79990,4,5,0
1,1,3,1,8,5,512,0,2,1,0,114990,3,0,0
4,1,3,1,8,5,512,0,2,1,0,129999,3,0,0
6,1,3,5,8,2,512,0,2,0,6,149990,4,10,3
3,1,3,1,8,1,512,0,2,1,2,71290,3,0,0
3,1,3,0,8,1,512,0,2,1,0,79500,4,10,1
3,1,3,0,8,1,512,0,2,1,2,82990,3,15,3
3,1,3,1,8,1,512,0,2,1,2,70980,4,138,23
1,1,3,1,8,5,512,0,2,1,0,99990,3,0,0
4,1,3,1,8,1,512,0,2,0,0,94000,3,0,0
3,1,3,1,8,1,512,0,2,1,2,82990,4,16,3
6,1,3,1,8,5,512,0,2,1,0,79990,4,11,4
1,1,3,5,8,1,512,0,2,1,0,85990,3,0,0
1,1,3,0,8,1,512,0,2,1,2,86990,3,0,0
1,1,3,0,8,3,512,0,2,1,2,105990,5,4,0
1,1,3,0,8,3,512,0,2,1,0,84990,3,0,0
5,1,3,5,8,1,512,0,2,1,2,59999,4,22,3
5,1,3,1,8,1,512,0,2,1,0,91999,4,16,2
3,1,3,1,8,1,512,0,2,1,0,78900,3,16,1
1,1,3,0,8,3,512,0,2,1,0,132790,3,0,0
5,1,3,1,8,1,512,0,2,1,4,60990,3,14,6
2,1,3,4,8,1,512,0,2,1,0,65556,3,0,0
3,1,3,1,16,1,512,0,2,1,0,70190,3,6,3
3,1,3,1,8,1,512,0,2,1,2,79590,3,0,0
2,1,3,4,8,1,512,0,2,1,0,65556,3,0,0
1,1,3,1,8,1,512,0,2,1,4,76990,3,0,0
2,1,3,4,8,1,512,0,2,1,0,65556,3,0,0
2,1,3,5,8,1,512,0,2,1,0,44990,3,17,3
1,1,3,1,8,1,512,0,2,1,0,84990,3,17,2
5,1,3,0,8,1,512,0,2,1,2,86999,4,3,0
4,1,3,1,16,1,512,0,2,1,2,78000,4,512,85
2,1,3,5,8,1,512,0,2,1,0,73063,3,17,3
2,1,3,5,8,1,512,0,2,1,0,73063,3,17,3
4,1,3,1,16,1,512,0,2,1,4,100990,3,0,0
5,1,3,5,8,1,512,0,2,1,0,74990,3,3,1
1,1,3,0,8,1,512,0,2,1,4,75990,4,1365,137
5,1,3,1,8,1,512,0,2,0,2,84086,3,8,3
1,1,3,1,8,1,1024,0,2,1,4,75990,4,368,48
1,1,3,1,8,1,1024,0,2,1,4,77990,4,202,26
1,1,3,0,8,1,1024,0,2,1,4,77990,4,187,26
0,1,3,0,16,5,1024,0,1,1,0,179990,4,31,3
0,1,3,0,16,5,1024,0,1,1,0,179990,4,91,5
1,1,3,0,8,1,1024,0,2,1,4,82990,4,844,118
1,1,3,1,8,1,1024,0,2,1,4,87990,3,0,0
1,1,3,1,8,1,1024,0,2,1,4,84500,4,3,0
3,1,3,1,8,5,1024,0,2,1,0,74190,4,21,3
5,1,3,1,8,1,1024,0,2,1,0,64990,3,4,0
5,1,3,0,8,1,512,512,2,1,0,155411,3,0,0
5,1,3,0,8,1,512,512,2,1,0,125394,3,0,0
7,1,3,1,8,1,0,1024,2,1,0,49990,3,0,0
7,1,3,1,8,1,0,1024,2,1,0,46990,3,253,28
3,1,3,1,8,1,0,1024,2,1,0,48990,3,470,46
7,1,3,5,8,1,0,1024,2,1,2,59999,4,118,28
1,1,3,0,8,1,0,1024,2,1,0,46990,4,1444,179
6,1,3,0,8,1,0,1024,2,1,4,52990,4,1114,137
5,1,3,4,8,1,0,1024,2,0,2,57999,3,0,0
5,1,3,3,8,0,0,1024,2,1,0,52490,3,78,17
5,1,3,5,8,1,0,1024,2,1,4,56990,4,21,5
7,1,3,5,8,1,0,1024,2,1,2,61990,4,73,21
3,1,3,1,8,1,0,1024,2,0,0,58090,3,0,0
1,1,3,0,8,1,0,1024,2,1,0,56990,3,0,0
7,1,3,5,8,1,0,1024,2,1,0,61597,3,0,0
1,1,3,5,8,1,0,1024,2,1,0,81990,3,0,0
1,1,3,0,8,1,0,1024,2,1,0,61249,3,0,0
3,1,3,1,8,1,0,1024,2,0,0,58990,3,0,0
1,1,3,0,8,1,0,1024,2,1,2,83990,3,0,0
6,1,3,0,8,4,0,512,0,0,6,291190,4,7,3
